,id,fdid,state,name,res_structure_fire_count,geom_id,source
0,82352,78113,TN,Gatlinburg Fire Department,1702,39697,minorcivildivision
1,96445,43501,SC,Sumter County Fire Department,886,11848,incorporatedplace
2,98631,06342,MI,Waterford Fire Department,842,8351,minorcivildivision
3,75271,27131,MN,Bloomington Fire Department,742,1828,incorporatedplace
4,99491,15501,GA,Whitfield County Fire Department,683,43228,minorcivildivision
5,88446,24035,CA,Merced County Fire Department,638,43662,minorcivildivision
6,96963,13703,GA,Tifton/Tift County Fire Department,567,8085,incorporatedplace
7,76225,01203,MO,Butler County Fire Protection District,529,31658,minorcivildivision
8,73236,20009,DE,Aetna Hose  Hook and Ladder Company,520,7826,incorporatedplace
9,94086,17040,LA,Saint George Fire Protection District No.2,520,1925,minorcivildivision
10,77976,14501,SC,Clarendon County Fire Department,502,11237,incorporatedplace
11,86048,14102,GA,LaGrange Fire Department,499,43015,minorcivildivision
12,80594,04100,CO,El Paso County Sheriff's Office  Wildland Fire Division,481,43606,minorcivildivision
13,95846,KA554,TX,Spring Volunteer Fire Department,478,730,unincorporatedplace
14,91103,ST507,TX,Orange County Emergency Services District #1,477,10793,incorporatedplace
15,75284,05151,TN,Blount County Fire Protection District,476,2430,unincorporatedplace
16,87531,20015,CA,Madera County Fire Department,453,35565,minorcivildivision
17,87055,32020,LA,Livingston Parish Fire Protection District #4,451,1920,incorporatedplace
18,90955,56294,KY,Okolona Fire Department,447,1188,minorcivildivision
19,97481,54050,CA,Tulare County Fire Department,443,35558,minorcivildivision
20,92400,11501,GA,Polk County Fire Department,441,5750,incorporatedplace
21,92585,11102,MO,Potosi Fire Protection District,438,14900,incorporatedplace
22,84573,07601,GA,Houston County Fire Department,435,40826,minorcivildivision
23,75402,06007,MS,Bolivar County Volunteer Fire Department,424,33404,minorcivildivision
24,97413,57113,OH,Trotwood Fire Department,420,18247,incorporatedplace
25,98930,06343,MI,West Bloomfield Fire Department,416,8349,minorcivildivision
26,93598,06302,MI,Rochester Hills Fire Department,416,717,incorporatedplace
27,90663,KA542,TX,Northwest Volunteer Fire Department,414,46498,minorcivildivision
28,92593,TC501,TX,Potter County Fire Rescue,413,37829,minorcivildivision
29,85063,0173,OR,Jackson County Fire District 3,413,21086,minorcivildivision
30,97431,06340,MI,Troy Fire Department,409,1362,incorporatedplace
31,86464,01065,CA,Lawrence Livermore Fire Department,403,43694,minorcivildivision
32,87535,57733,TN,Madison County Fire Department,398,46706,minorcivildivision
33,100174,08114,MI,Ypsilanti Township Fire Department,396,5734,minorcivildivision
34,92335,56295,KY,Pleasure Ridge Park Fire Protection District,392,1199,minorcivildivision
35,89081,63840,TN,Montgomery County Volunteer Fire Service,391,1423,countyorequivalent
36,77448,20012,DE,Christiana Fire Company,389,35763,minorcivildivision
37,83691,57107,OH,Harrison Township Fire Department,386,22302,minorcivildivision
38,86435,08701,GA,Laurens County Fire Department,384,41559,minorcivildivision
39,88022,23D05,WA,Mason County Fire District # 5,383,9439,incorporatedplace
40,87357,09201,GA,Lowndes County Fire and Rescue,381,6923,incorporatedplace
41,77057,25150,AK,Central Mat-Su Fire Department,377,8235,incorporatedplace
42,95835,02313,MN,Spring Lake Park Fire Department  Inc.,375,6689,minorcivildivision
43,96727,52030,CA,Tehama County Fire Department,374,41006,minorcivildivision
44,93317,03M04,WA,Richland Fire & Emergency Services,372,37300,minorcivildivision
45,96784,26015,LA,Terrytown 5th District Volunteer Fire Department,367,2966,unincorporatedplace
46,86019,36002,MS,Lafayette County Volunteer Fire Department,360,2128,countyorequivalent
47,95111,16029,MD,Silver Hill Volunteer Fire Department & Rescue Squad (Prince Georges County Fire Department),358,3899,unincorporatedplace
48,74257,00501,GA,Baldwin County Fire Rescue,357,6445,unincorporatedplace
49,98145,60047,NY,Village of Scarsdale,356,17537,incorporatedplace
50,91083,49035,LA,Opelousas Fire Department,355,2156,incorporatedplace
51,84781,01922,MA,Hyannis Fire Department,353,380,minorcivildivision
52,99242,KA560,TX,Westfield Road Volunteer Fire Department,346,46498,minorcivildivision
53,83589,36711,TN,Hardin County Fire Department,345,14684,incorporatedplace
54,75611,06711,TN,Bradley County Fire - Rescue,343,47064,minorcivildivision
55,76326,SG164,IL,Cahokia Volunteer Fire Department,343,4993,incorporatedplace
56,84738,XB601,TX,Huntsville Fire Department,340,15260,incorporatedplace
57,83988,39713,TN,Henderson County Fire Department,338,38981,minorcivildivision
58,78488,0539,OR,Columbia River Fire & Rescue,333,14554,incorporatedplace
59,77865,22001,MD,City of Salisbury Fire Department Station #16,332,3905,incorporatedplace
60,79538,21121,TN,DeKalb County Fire Department,329,1964,countyorequivalent
61,87923,26045,LA,Marrero Estelle Volunteer Fire Company No. 1,326,4931,unincorporatedplace
62,76054,07305,MI,Buena Vista Fire Department,321,461,unincorporatedplace
63,84180,KA424,TX,Highlands Volunteer Fire Department,318,7615,unincorporatedplace
64,86534,0204,OR,Lebanon Fire District,318,11191,incorporatedplace
65,98395,14701,GA,Walton County Fire Rescue Department,315,41689,minorcivildivision
66,92441,KA545,TX,Ponderosa Fire Department,314,46496,minorcivildivision
67,73489,14005,PA,Alpha Fire Company,314,13254,incorporatedplace
68,78279,14008,MS,Coahoma County Fire Department,313,32308,minorcivildivision
69,76854,02303,GA,Catoosa County Fire Department,313,6106,incorporatedplace
70,83725,07301,GA,Hart County Fire Department,312,8316,incorporatedplace
71,82510,06101,GA,Gilmer County Fire & Rescue,311,6233,incorporatedplace
72,86881,31005,LA,Lincoln Parish Fire Protection District No. 1,310,650,countyorequivalent
73,86867,52731,TN,Lincoln County Volunteer Fire Rescue,308,11343,incorporatedplace
74,76399,18076,KY,Calloway County Fire-Rescue  Inc.,307,3294,minorcivildivision
75,79068,KA413,TX,Crosby Volunteer Fire Department,306,6719,unincorporatedplace
76,97416,14101,GA,Troup County Fire Department,306,43015,minorcivildivision
77,95673,10502,MO,Southern Stone County Fire District,305,18952,incorporatedplace
78,86088,17005,CA,Lake County Fire Protection District,305,6768,incorporatedplace
79,74817,35301,SC,Bennettsville Fire Department,302,14229,incorporatedplace
80,78458,03512,GA,Colquitt County Volunteer Firefighters Association,302,42644,minorcivildivision
81,98546,24013,OH,Washington Court House Fire-Rescue,301,19569,incorporatedplace
82,89102,B5594,KY,Monticello Fire Department,300,5468,incorporatedplace
83,93998,02560,NJ,Rutherford Volunteer Fire Department,299,15962,incorporatedplace
84,80613,05201,GA,Elbert County Fire Department,294,8401,incorporatedplace
85,75711,52009,NY,Brentwood Fire Department,290,7682,unincorporatedplace
86,94107,49055,LA,Saint Landry Parish Fire District 3,289,2156,incorporatedplace
87,85848,KA534,TX,Klein Volunteer Fire Department,287,46496,minorcivildivision
88,96717,02600,NJ,Teaneck Fire Department,287,31691,minorcivildivision
89,87859,0219,OR,Marion County Rural Fire Protection District #1,286,22469,minorcivildivision
90,78554,KA502,TX,Community Volunteer Fire Department,286,46498,minorcivildivision
91,98447,14801,GA,Ware County Fire/Rescue,285,36155,minorcivildivision
92,90969,18306,SC,Old Fort Fire Department,284,18296,minorcivildivision
93,77337,36004,NY,Chester Fire Department,282,17188,incorporatedplace
94,98565,SG482,IL,Washington Park Fire Department,281,5025,incorporatedplace
95,74620,02713,TN,Bedford County Fire Department,280,12834,incorporatedplace
96,86864,05702,MO,Lincoln County Fire Protection District,279,3983,incorporatedplace
97,92822,71751,TN,Putnam County Fire Department,278,1932,countyorequivalent
98,77098,50005,CA,Ceres Emergency Services - Fire Division,273,5909,incorporatedplace
99,94853,45086,CA,Shasta County Fire Department,273,42468,minorcivildivision
100,79778,16026,MD,District Heights Volunteer Fire Department (Prince Georges County Fire Department),273,26,incorporatedplace
101,92216,WG334,IL,Plainfield Fire Protection District,270,8972,incorporatedplace
102,79357,16213,SC,Darlington County Fire District,270,16849,minorcivildivision
103,74793,04305,MN,Bemidji Fire Department,270,4689,incorporatedplace
104,87711,07206,MN,Mankato Fire Department,269,3907,minorcivildivision
105,80994,33152,KY,Estill County Fire Department,268,3279,minorcivildivision
106,83883,97499,KY,Hazard Fire Department,268,2361,incorporatedplace
107,94467,13006,MD,Savage Volunteer Fire Company  Inc. (Howard County Fire & Rescue),268,4388,unincorporatedplace
108,98815,47080,CA,Weed City Fire Department,267,41035,minorcivildivision
109,77404,16034,MD,Chillum Adelphi Volunteer Fire Department (Prince Georges County Fire Department),266,4402,unincorporatedplace
